english,khasi
ENGLISH DICTIONARY,KHASI
"aS, Germany.", Mr Rudolf Haupt Halle
vho,Singh 
out,worn
eito have pity for ,isyn
" nang , expresses continuity or progression",iai
leii to,iai
morrow,lashdito
morrow,to
man,a speaker nong Sohraa Gherra
duito settle permanently.,hong
"zto ramble, to take a strolL",Iaid
ioto be peevish.,Leh
saAto remain sleeping or in bed.,Thiah
sto beat in such a way as to reflect,Shoh
"collocations, have",word
khntain.,Imit khutia
" a rapid, wi a",fat
ENGLISH DICTIONARY.,KHASI
"kasngi, ka, n. Domesday.",Akher
runners,dak
adit.,Imit adong
lanot,Adili
"aug,",Ang
aiig.,ang
"um, V.",Ang
devil from Hindustani Angrez.,Angret u n a dare
NONG,AI
"baisiew, v. to give money for buying things at a time, as,",Ai
dsLj.,a hat
siew aibaitda.,ImiL aibai
"baibat, v. to pay ready money.",Ai
"bainong,",v Ai
bainong,ai
baini.,ai
"baishun,",Ai
"bat, V, to give one to hold, to entrust with.",Ai
"br,",Ai
sor.,ai
"budndm, v. to slander",Ai
"kai, v. to give for a time, to pretend to give.",Ai
"kaiphod, legal,",Ai
"kam, v. to give employment.",vAi
aijam.,Imil aikam
"khawduh,",Ai
"khusnam,",Ai
"ksew,",Ai
ksnid or, Ai
"ksuidbriew, v. to kill or bring disease on a person",ai
aikhrei.,Imit aiksuid
"kum, kaba, n. a Synteng ceremony which a man performs",Ai
aiklong.,ImU aikum
aipalat.,Imit ai kylliang
"dav, V. to give an excuse ", Ai
ai,Imit aidaw
"ei,",Ai
"nguh, V. to give thanks.",vAi
aidem.,ImU ainguh
"huspai,",Ai
"lad,",vAi
ailynti.,Inui ailad
"lan,",Ai lait
"li, V. to give one his own way.",Ai
"mon,",Ai
ka kanun.,ImU ka aiii
"nishan, v. to name, to point out, to cite, identify.",Ai
"iiong,", Ai
aini.,Imit ainong
"pop, V. to charge with, to blame for.",Ai
"reng, v, to",Ai
fighting,bull
"rong,",Ai
airup.,Imit airong
"sakhi,",iAi
sakhiaisatar.,Imit ai
"sboh, IK to manure.",Ai
"shah, v. to give on credit.",vAi
aisham.,Imit aishah
"siew,",Ai
aitda.,aisiew
"sniew, v. to poison.",vAi
aismeh.,Imit aisniew
"sut, V. to give money on",vAi
aibut.,aisut
alput.,Imit alhia
"up, a Kajut.",Along ka n a lock
"na, a. idiotic.",An
"dien, v.",Ap
"phira, v. to guard as a sentinel.",Ap
THAP,AP
"tliap,",Ap
