id,khasi,english,part_of_speech,notes,page
1,A,first letter of the Khasi alphabet; oh!; ah!,interjection,alphabet entry,1
2,Ab,imitation of the cry of a crow,interjection,—,1
3,Abir,red powder used in the Holi festival,noun,Hindi loanword,1
4,Ak,ah!; exclamation of disgust at an unpleasant smell,interjection,—,1
5,Aku,expression of disgust at a bad smell,interjection,—,1
6,Akher-ka-sngi,Domesday,noun,—,1
7,Akhia,earnest man,noun,colloquial,1
8,Akor,behaviour; conduct,noun,Hindi loanword,1
9,Adda,stage for changing horses and dak runners,noun,Hindi loanword,1
10,Ade,perhaps; maybe,adverb,also used as an interjection expressing surprise or approval,1
12,Adkar,thoughtfully; economically; moderately,adverb,—,1
13,Ang,to open; to crack,verb,—,1
14,Angel,angel,noun,English loanword,1
15,Ahor,marshy place; swamp,noun,—,1
16,Ai,to give; to bestow,verb,—,1
17,Aia,ayah,Noun,Hindi loanword,
18,Ai-bai-siew,to give money for buying things at a time,Verb,Payment in advance,
19,Ai-baibat,to pay ready money,Verb,Cash payment,
20,Ai-bainong,to give wages; to reward,Verb,,
21,Ai-baishun,to give or pay a paltry sum of money,Verb,,
22,Ai-bat,to give one to hold; to entrust,Verb,,
23,Ai-bor,to authorize; to strengthen; to empower,Verb,,
24,Ai-bud-nam,to slander; to defame,Verb,,
25,Ai-kai,to lend temporarily; to pretend to give,Verb,,
26,Ai-kaiphod,to give an explanation,Verb,Legal usage,
27,Ai-kam,to give employment,Verb,,
28,Ai-khawduh,to leave uncared for; to outcast,Verb,,
29,Ai-khusnam,to confer honour for meritorious conduct,Verb,,
30,Ai-ksew,to put a dog on the scent,Verb,,
31,Ai-ksuid,to bring disease or death through evil spirits,Verb,Traditional belief,
32,Ai-kum,Synteng ceremony before living with wife and children,Noun,Cultural term,
33,Ai-kylliang,to lend,Verb,,
34,Ai-daw,to give an excuse; to give a reason,Verb,,
35,Ai-ei,to give freely; to give gratis,Verb,,
36,Ai-nguh,to give thanks,Verb,,
37,Ai-huspai,to indulge,Verb,,
38,Ai-lad,to give an opportunity; to help,Verb,,
39,Ai-lait-lan,to let loose; to allow complete freedom,Verb,,
40,Ai-li,to let someone have their own way,Verb,,
41,Ai-mon,to allow one's own will,Verb,,
42,Aiu,law; statute,Noun,,
43,Ai-nishan,to name; to identify; to point out,Verb,,
44,Ai-nong,to give out work or a load to be done for hire,Verb,,
45,Aiom,season; time,Noun,,
46,Ai-pop,to accuse; to blame,Verb,,
47,Ai-reng,to confront; to oppose; to present the horn (bull-fighting),Verb,,
48,Ai-rong,to paint,Verb,,
49,Ai-sakhi,to give evidence,Verb,Legal usage,
50,Ai-sboh,to manure,Verb,Agriculture,
51,Ai-shah,to give on credit,Verb,,
52,Ai-siew,to sell at cost price,Verb,Commerce,
53,Ai-sniew,to poison,Verb,,
54,Ai-sut,to lend money on interest,Verb,Finance,
55,Ai-ti,to hand over; to deliver; to surrender,Verb,,
56,A-iu,what?,Pronoun,Interrogative,
57,A-iu-re-aiu,something,Pronoun,,
59,Alhia,lazy; idle,Adjective,,
60,Along,lock-up; jail,Noun,,
61,Am,to bite; to sink the teeth into,Verb,"Also used imperatively as ""give me""",
62,Ama / Amai,oh!,Interjection,Used after a narrow escape,
63,Amduh,wisdom tooth,Noun,,
64,Amrang,harsh tone; empty words,Noun,,
65,Ana,anna (¹⁄₁₆ of a rupee),Noun,Historical currency,
66,Ani,oh!,Interjection,Pain or surprise,
67,Anipot,misfortune,Noun,,
68,An-na,idiotic,Adjective,,
69,Antad,to guess; to conjecture,Verb,"Also used as an adverb: ""by conjecture"", ""moderately""",
70,Antra,chorus,Noun,,
71,Ap,to wait; to stay for,Verb,,
72,Ap-dien,to guard or watch from behind,Verb,,
73,"Aphing (Aphim, Aphin)",opium,Noun,Variant spellings listed,
74,Ap-phira,to guard as a sentinel,Verb,,
75,Apod,trouble; calamity,Noun,,
76,Ap-thap,to lie in wait for,Verb,,
77,Ap-tuh,to waylay; to wait stealthily,Verb,,
78,Ar,two,Numeral,,
79,Arban,twofold; double,Adjective,,
80,Arbriew,two shares; two votes,Noun,,
81,Arbaliang,both sides (of a dispute),Adjective,,
82,Arbud,two folds (of twisted thread),Noun,,
83,Arbyteng (Arbteng),two generations; two successive things,Noun,Variant spelling listed,
84,Arkhap,cleft; gorge; narrow place between two rising mounds,Noun,,
85,Arkhep,two occasions,Noun,,
86,Arklur,two crores,Numeral,,
87,Arkup,two suits of clothes,Noun,Usually wrappers or shawls,
88,Ardeng,two pairs of ornaments,Noun,,
89,Arhajar,two thousand,Numeral,,
90,Ari,exclamation expressing a sensation of cold,Interjection,,
91,Arlud-um,junction of two rivers,Noun,,
92,Arlak,two lakhs,Numeral,,
94,Arliang niamla,two opposing parties,Noun,,
95,Armet,"pregnant (literally ""two bodies"")",Adjective,Idiomatic expression,
96,Arpateng,two generations; two steps,Noun,,
97,Arphew,twenty,Numeral,,
98,Arpiah,Rs. 2 and 8 annas,Noun,Historical currency,
99,Aro,there you are!,Interjection,Colloquial,
100,Arsap,twofold; hypocritical,Adjective,,
101,Arshah,doubly; twice as much,Adverb,,
102,Arshing,two pice,Noun,Historical currency,
103,Arsien,twice,Adverb,,
104,Arsut,downwards,Adverb,,
105,Artat,besides; at the same time; on the way,Adverb,,
106,Artatien,doubtful,Adjective,,
107,Arteng,two occasions,Adverb,,
108,Artet,upwards; northwards,Adverb,,
109,Arwat,twice; twofold,Adverb,,
110,Asbab,luggage,Noun,,
111,Ashar,preserved fruits or vegetables; chutney,Noun,,
112,Asir,toll collected at Lakhat Bazaar,Noun,,
113,Astor,lime plastering,Noun,,
114,At,to swell; to bulge; to harbour ill feelings,Verb,,
115,Ata,flour,Noun,,
116,Atad,compound of a house,Noun,,
117,At-byllei,to swell as if affected by nettle rash,Verb,,
118,Atbylliang,swelling as if caused by a whip lash,Noun,,
119,At-khu,to envy,Verb,,
